"sites","temperature_..C.","oxygen_.µmol.kg.","date","longitude","latitude","depth","depth_layer","station"
"TARA_102_5.00",24.9589,204.421,"2011-04-21 20:07:00",-85.1545,-5.2529,5,"EPI","TARA_102"
"TARA_011_9.00",NA,NA,"2009-10-04 08:30:00",2.7996,41.6686,9,"EPI","TARA_011"
"TARA_085_90.00",-0.7924,326.6803,"2011-01-06 19:34:00",-49.2139,-62.2231,90,"EPI","TARA_085"
"TARA_030_70.00",18.6162,218.7511,"2009-12-15 15:23:00",32.8118,33.9235,70,"EPI","TARA_030"
"TARA_048_5.00",29.8181,187.35,"2010-04-19 07:56:00",66.4228,-9.3921,5,"EPI","TARA_048"
"TARA_039_5.00",27.0891,193.0653,"2010-03-18 04:27:00",66.622,18.5918,5,"EPI","TARA_039"
"TARA_007_9.00",23.8141,NA,"2009-09-23 12:50:00",1.9378,37.051,9,"EPI","TARA_007"
"TARA_038_5.00",26.3136,187.7395,"2010-03-15 03:35:00",64.4913,19.0393,5,"EPI","TARA_038"
"TARA_004_9.00",20.2381,NA,"2009-09-15 11:30:00",-6.5669,36.5533,9,"EPI","TARA_004"
"TARA_072_100.00",23.6301,190.5966,"2010-10-05 15:35:00",-17.9604,-8.7296,100,"EPI","TARA_072"
"TARA_132_115.00",15.3211,222.9412,"2011-10-05 00:59:00",-159.046,31.5168,115,"EPI","TARA_132"
"TARA_150_5.00",17.6271,229.3681,"2012-03-05 09:25:00",-37.3032,35.9346,5,"EPI","TARA_150"
"TARA_110_50.00",22.0398,145.0818,"2011-05-21 21:00:00",-84.6265,-1.9002,50,"EPI","TARA_110"
"TARA_007_42.00",17.5211,NA,"2009-09-23 16:08:00",1.9478,37.0541,42,"EPI","TARA_007"
"10 (Section GA03, Cruise KN199-4)_185.00",12.93,76.6,"2010-10-30 03:06:00",-20.8167,17.3516,185,"EPI","10 (Section GA03, Cruise KN199-4)"
"38 (Section GP13, Cruise SS2011)_1001.50",5.101,NA,"2011-05-31 18:10:31",-170,-32.5001,1001.5,"MES","38 (Section GP13, Cruise SS2011)"
"5 (Section GA10, Cruise D357)_81.40",11.695,262.439,"2010-10-27 19:24:00",5.5272,-40.0627,81.4,"EPI","5 (Section GA10, Cruise D357)"
"17 (Section GA02, Cruise PE319)_10.00",18.858,227.4,"2010-05-21 13:30:00",-55.4316,34.3277,10,"EPI","17 (Section GA02, Cruise PE319)"
"9 (Section GA10, Cruise D357)_21.20",18.057,236.2927,"2010-11-10 12:29:00",16.0769,-34.8953,21.2,"EPI","9 (Section GA10, Cruise D357)"
"BATS (Section NA, Cruise BATS187)_40.00",19.788,NA,"2004-04-21 00:00:00",-64.16,31.66,40,"EPI","BATS (Section NA, Cruise BATS187)"
"10 (Section GA03, Cruise KN199-4)_140.70",13.87,75.6,"2010-10-30 03:06:00",-20.8167,17.3516,140.7,"EPI","10 (Section GA03, Cruise KN199-4)"
"10 (Section GA03, Cruise KN199-4)_2.00",NA,NA,"2010-10-30 00:58:00",-20.7835,17.3487,2,"EPI","10 (Section GA03, Cruise KN199-4)"
"8 (Section GA03, Cruise KN204)_31.30",23.075,210.4,"2011-11-16 13:59:00",-66.5408,35.4162,31.3,"EPI","8 (Section GA03, Cruise KN204)"
"5 (Section GA10, Cruise D357)_101.90",11.699,262.3415,"2010-10-27 19:24:00",5.5272,-40.0627,101.9,"EPI","5 (Section GA10, Cruise D357)"
"5 (Section GA10, Cruise D357)_21.60",11.947,265.3658,"2010-10-27 19:24:00",5.5272,-40.0627,21.6,"EPI","5 (Section GA10, Cruise D357)"
"TARA_058_66.00",25.1139,181.1019,"2010-06-29 15:00:00",42.2866,-17.2855,66,"EPI","TARA_058"
"TARA_112_5.00",24.2629,201.6702,"2011-06-14 16:45:00",-129.3947,-23.2811,5,"EPI","TARA_112"
"TARA_110_5.00",23.8882,191.9126,"2011-05-21 12:27:00",-84.589,-2.0133,5,"EPI","TARA_110"
"6 (Section GA10, Cruise D357)_50.90",10.483,276,"2010-10-29 18:23:00",0.8876,-40.0194,50.9,"EPI","6 (Section GA10, Cruise D357)"
"6 (Section GA10, Cruise D357)_101.90",10.023,271.2195,"2010-10-29 18:23:00",0.8876,-40.0194,101.9,"EPI","6 (Section GA10, Cruise D357)"
"6 (Section GA10, Cruise D357)_61.40",10.346,274.2439,"2010-10-29 18:23:00",0.8876,-40.0194,61.4,"EPI","6 (Section GA10, Cruise D357)"
"17_4002.00",1.7369,236.0128,"2011-02-01 00:00:00",-27.33,-3.03,4002,"BAT","17"
"GT19 (Section GP13, Cruise TAN1109)_5095.00",1.116,196.6,"2011-06-19 22:18:00",-154.0042,-32.4948,5095,"ABY","GT19 (Section GP13, Cruise TAN1109)"
"2 (Section GA02, Cruise JC057)_150.00",3.867,295.1,"2011-03-06 19:40:00",-48.7933,-48.9358,150,"EPI","2 (Section GA02, Cruise JC057)"
"26_3907.00",0.5836,208.8818,"2011-11-01 00:00:00",-36.95,-22.97,3907,"BAT","26"
"23_4003.00",1.4542,223.0178,"2011-08-01 00:00:00",-33.41,-15.83,4003,"BAT","23"
"TARA_065_5.00",21.7636,207.5812,"2010-07-12 05:59:00",26.2868,-35.1728,5,"EPI","TARA_065"
"TARA_100_5.00",25.3495,201.0109,"2011-04-15 12:45:00",-95.9759,-13.0023,5,"EPI","TARA_100"
"TARA_039_25.00",26.6924,187.4761,"2010-03-18 11:33:00",66.4727,18.5839,25,"EPI","TARA_039"
"TARA_036_17.00",25.3292,206.5688,"2010-03-12 12:23:00",63.5133,20.8222,17,"EPI","TARA_036"
"TARA_018_60.00",18.3057,238.6946,"2009-11-02 14:07:00",14.2765,35.7528,60,"EPI","TARA_018"
"TARA_023_5.00",17.2117,221.7821,"2009-11-18 08:41:00",17.715,42.2038,5,"EPI","TARA_023"
"TARA_009_55.00",15.9708,NA,"2009-09-28 16:59:00",5.9422,39.0609,55,"EPI","TARA_009"
